,cluster,gene,score
151,15,ENSG00000277632,22.544483184814453
152,15,ENSG00000163220,22.541906356811523
153,15,ENSG00000143546,22.16831398010254
154,15,ENSG00000090382,20.30274200439453
155,15,ENSG00000123689,18.11773109436035
156,15,ENSG00000163221,17.0821590423584
157,15,ENSG00000101439,15.867894172668457
158,15,ENSG00000276085,15.652115821838379
159,15,ENSG00000087086,15.399084091186523
160,16,ENSG00000163737,27.836702346801758
161,16,ENSG00000127920,27.545114517211914
162,16,ENSG00000111644,27.324399948120117
163,16,ENSG00000150681,27.246543884277344
164,16,ENSG00000163736,27.110177993774414
165,16,ENSG00000180573,26.900007247924805
166,16,ENSG00000168497,26.632305145263672
167,16,ENSG00000101162,24.118499755859375
168,16,ENSG00000148908,23.513357162475586
169,16,ENSG00000169756,23.206371307373047
170,17,ENSG00000123416,17.209909439086914
171,17,ENSG00000164104,14.723649978637695
172,17,ENSG00000164032,14.488210678100586
173,17,ENSG00000117632,14.424325942993164
174,17,ENSG00000166803,12.137166976928711
175,17,ENSG00000136810,11.723318099975586
176,17,ENSG00000197061,11.276156425476074
177,17,ENSG00000132341,11.153570175170898
178,17,ENSG00000189403,10.097993850708008
179,17,ENSG00000080824,9.938470840454102
180,18,ENSG00000170891,6.239569664001465
181,18,ENSG00000124766,6.206118106842041
182,18,ENSG00000145425,6.175657272338867
183,18,ENSG00000197958,6.162166118621826
184,18,ENSG00000198034,6.139702320098877
185,18,ENSG00000100316,6.134273052215576
186,18,ENSG00000104408,6.1252031326293945
187,18,ENSG00000145741,6.124292850494385
188,18,ENSG00000147604,6.118701457977295
189,18,ENSG00000142937,6.11512565612793
