celltype_suggested,proportion
NK cells,0.36021105323682606
T cells,0.31989447338158694
Monocytes,0.137793411350876
B cells,0.07285395386592708
Plasma cells,0.05486031252113915
Erythroid,0.035446120543867955
Megakaryocytes/Platelets,0.01806128661300142
HSC/Progenitor,0.0008793884867753501
